fold,window,n_train,brier,auc
2022,2,491175,0.24355429891005248,0.5763799585114162
2022,3,728588,0.24352431071531802,0.5764803215338391
2023,2,494560,0.25393828199362867,0.5253150238040301
2023,3,738647,0.25367971480051604,0.5266486488264492
2024,2,492997,0.24848887721132712,0.5433823636804548
2024,3,740085,0.2483033730137407,0.5457917767795296
