features,fold,brier,logloss,roc_auc,pred_mean,seconds,brier_gain_vs_base,pass_threshold
domain43,2024,0.24811007644535327,0.6893540583342436,0.5474897592822731,0.4964548066203094,28.504578351974487,0.0,False
domain43_latent_pitch_command,2024,0.24812801109769428,0.6893900819451059,0.5474872428754632,0.49719464092662724,30.22069215774536,-1.793465234101177e-05,False
