fold,base,seed7,corr_seed,corr_split,sec,seed_w,seed_blend,seed_gain,split_w,split_blend,split_gain,three_gain
2022,0.24789116476196957,0.24794245330997267,0.999877269831358,0.9993971819544583,44,0.1,0.2478908210550977,0.03437068718803449,0.6,0.24779142533480264,9.973942716692829,7.183409690392217
2023,0.24870929835658587,0.24873225996560996,0.999910220551935,0.9995082973397409,69,0.2,0.2487067061203014,0.25922362844599256,0.4,0.24867363257324465,3.5665783341215507,3.2005947731172935
2024,0.24803733851791324,0.24809147971505663,0.9999049590999667,0.999537218964766,85,0.0,0.24803733851791324,0.0,0.6,0.24796343434043044,7.390417748279199,4.934299760248062
