context,alpha,2023_global,2023_group,2024_global,2024_group,mean_group
game_type,1000,0.253296863091291,0.2537626077749243,0.24787123780827613,0.24870628516536153,0.2512344464701429
game_type,5000,0.253296863091291,0.25370978857959353,0.24787123780827613,0.24859832409232552,0.25115405633595955
game_type,20000,0.253296863091291,0.2535871709133935,0.24787123780827613,0.2483363784235575,0.25096177466847547
game_type,100000,0.253296863091291,0.2534107302020325,0.24787123780827613,0.24798327566149805,0.2506970029317653
n_bin,1000,0.253296863091291,0.25325009055531655,0.24787123780827613,0.24796596210651195,0.2506080263309143
n_bin,5000,0.253296863091291,0.2532669972013269,0.24787123780827613,0.24794427193838786,0.2506056345698574
n_bin,20000,0.253296863091291,0.25327843722806437,0.24787123780827613,0.24792076397356244,0.25059960060081343
n_bin,100000,0.253296863091291,0.2532850787312057,0.24787123780827613,0.24789477391743456,0.25058992632432014
game_n,1000,0.253296863091291,0.2537435852308612,0.24787123780827613,0.24861038705810304,0.25117698614448214
game_n,5000,0.253296863091291,0.25359938185251446,0.24787123780827613,0.24830867110935403,0.25095402648093423
game_n,20000,0.253296863091291,0.25343775088172743,0.24787123780827613,0.24802089110476397,0.2507293209932457
game_n,100000,0.253296863091291,0.2533335549412968,0.24787123780827613,0.2478948129848769,0.2506141839630868
pressure,1000,0.253296863091291,0.2532921378181776,0.24787123780827613,0.24787267718963232,0.250582407503905
pressure,5000,0.253296863091291,0.25329450573810064,0.24787123780827613,0.24787245832276444,0.25058348203043257
pressure,20000,0.253296863091291,0.25329985592621274,0.24787123780827613,0.2478719431084906,0.25058589951735166
pressure,100000,0.253296863091291,0.253305087737036,0.24787123780827613,0.24787136800068135,0.2505882278688587
game_n_pressure,1000,0.253296863091291,0.2537535569230772,0.24787123780827613,0.24852793713534244,0.25114074702920985
game_n_pressure,5000,0.253296863091291,0.25359847863665114,0.24787123780827613,0.24821269996718123,0.2509055893019162
game_n_pressure,20000,0.253296863091291,0.2534317981593375,0.24787123780827613,0.24797689171756754,0.2507043449384525
game_n_pressure,100000,0.253296863091291,0.25333031695679825,0.24787123780827613,0.24788529626391825,0.25060780661035825
