fold,model,brier
2022,hgb_s7,0.24353667856001449
2022,hgb_s2024,0.24355364502948443
2022,cat100_s7,0.24335955834106412
2022,cattime100_s7,0.243392104780992
2023,hgb_s7,0.2535580521026753
2023,hgb_s2024,0.2535207232317015
2023,cat100_s7,0.25318201341676955
2023,cattime100_s7,0.25299816194185587
2024,hgb_s7,0.24811081437772692
2024,hgb_s2024,0.24811540747157637
2024,cat100_s7,0.24802958364997582
2024,cattime100_s7,0.24797937911022894
