fold,seed,brier
2022,42,0.24387609958648682
2022,7,0.24372704327106476
2022,2024,0.2440473586320877
2022,avg5,0.24360446631908417
2023,42,0.25408294796943665
2023,7,0.25302815437316895
2023,2024,0.25271064043045044
2023,avg5,0.25294074416160583
2024,42,0.24809308350086212
2024,7,0.24805977940559387
2024,2024,0.2480304092168808
2024,avg5,0.2478150576353073
