fold,variant,brier,auc,pred_sd,sec
2022,cur,0.24352431071531802,0.5764803215338391,0.0763811754678475,38.5
2022,L1,0.24383891448355813,0.5738242594490442,0.07820894454107061,59.3
2022,L2,0.24443876028565378,0.5693966058399087,0.08053090086591311,75.0
2023,cur,0.2534316109162257,0.5271842713456031,0.06906231506028902,39.5
2023,L1,0.253993737277139,0.5246702446763912,0.07290337824644448,57.4
2023,L2,0.25491222229770016,0.5204033713625263,0.0776758148054337,84.6
2024,cur,0.24805922339357517,0.5481536876974347,0.043726631680944816,46.0
2024,L1,0.24848385836506132,0.5441010097806301,0.048032541886050724,80.8
2024,L2,0.2490147104658408,0.5402440507081985,0.0534410718257852,96.8
