cand,corr,solo24,solo22,w,d24,d22,pass
exp121 XGBoost+sd,0.913766075874275,0.2481265771928584,0.24903039048792364,0.02,0.0855676269811978,-0.27991953426842464,False
exp122 NN+sd+Trackman,0.9603560101388297,0.24766300675026556,0.24834928897992203,0.15,1.1774924760094008,0.1364383853313944,True
exp123 DeepFM+sd,0.9098335226506499,0.24827732740606284,0.24839747936472126,0.05,-0.6221516793775139,1.165870845820649,False
exp124 DeepFM+ctx,0.8368127239852906,0.24932994047755552,0.24920757289263576,0.05,-0.6605044648555491,1.087037221303433,False
exp125 다중시즌,0.9485215442928941,0.24787503481495776,0.24851139875099892,0.02,0.05690107583444792,-0.00040788613597797507,False
exp126 k-NN,0.7310385063865642,0.24880114482738838,0.24913730646158402,0.02,-0.04741788718343187,-0.26874385625208497,False
exp128 sd x 상황,0.9490628150967624,0.247916636808223,0.2484002535714766,0.05,-0.08649424204643097,0.347559835622846,False
exp129 순위(HGB),0.9522277745209963,0.24785520273956038,0.2484449825880021,0.05,0.07786123587261162,0.0064263286941868,True
exp131 순위(NN),0.9767331651031553,0.24762620774711724,0.2482338682276937,0.2,0.9775280903401296,0.4453280446237162,True
exp132 nnsd 8에폭,0.9526704180502767,0.24798848430381534,0.24833364828103832,0.1,-0.11583127084435763,0.9239328903898336,False
