재료,d2024,d2022,상관
exp86_B_8ep_코사인,1.2763215796546268,,0.8721303180588305
NN8ep_cos,1.2763215796546268,0.2358332882895775,0.9122514170931231
exp68_multisplit,1.047185139430029,-0.3488846367583065,0.9574723849711452
exp86_A_4ep_고정,0.8903939629489876,,0.9398882131237233
exp55_hand_seedavg,0.8903939629489876,-0.37884874889149156,0.9679142642587738
exp110_sd_all,0.8106175278160821,0.9458508331477988,0.9658377298191596
exp86_C_12ep_코사인,0.8043940989410636,,0.8163022508167921
exp63_handcnt,0.7633645675547696,-0.9627650414151256,0.96567619116163
exp73_film,0.7062155681691884,-0.8604882896834365,0.96746547883504
exp100_regime_transfer,0.6302220208143083,,0.9397824302633239
exp110_sd_pit_bat,0.5909675042992113,1.2662373453792286,0.9674443982367541
exp74_hand_ep2,0.4880640522814117,-1.0188512763326107,0.9656884989553596
exp59_pbhand_seedavg,0.47046209403767136,-0.8105559622051395,0.963946390279607
exp84_hand_big,0.462554907054713,-0.6329466525012428,0.9346898475966122
exp67_rankgauss,0.45820884887470825,-0.5632764671692492,0.9579073883064554
exp72_tm_mean_mono,0.30884459411295584,-1.3687728742661776,0.9595613420774366
exp65_handcnt_seeds5,0.28156073646479207,-0.09266831548782051,0.9722037404965816
exp58_hand_seeds5,0.11065240405894183,0.13943863096665954,0.9724764356151095
exp66_batcnt,0.02392525988159644,-1.0452777633424004,0.964820760652232
exp82_hand_hf,-0.023475267604822214,-0.7014390984244612,0.9629502828360502
exp61_V2,-0.09663660739400726,-0.16134111441856724,0.9597572797918843
exp105_sd,-0.1409801656665488,0.27701689911396876,0.9661731688673558
exp110_sd_pit,-0.1409801656665488,0.27701689911396876,0.9661731688673558
TEAM_extratrees,-0.2016588652981044,-1.9599280399767993,0.9566020622700971
exp76_cattime100_s7,-0.2336255358531547,-0.6038586686740732,0.9648751701790772
exp10_domain_te_scatter,-0.335394141379175,-0.8268616605827672,0.9610874900832795
exp53_nn_cnt_2024,-0.3372997515072029,,0.853649581979698
exp50_nn_hand_2024,-0.36481620221406885,,0.8621541400414136
exp61_V1,-0.3938236319778188,-1.0257042013989137,0.9664022681229322
exp61_V3,-0.43121471484386387,-0.7294353840031631,0.9650464347178755
exp62_hand_split,-0.5595622100146302,-1.3290404846266757,0.5742838987706782
