fold,seed,brier
2024,1,0.24863377213478088
2024,13,0.24852783977985382
2024,77,0.24813471734523773
2024,101,0.24830412864685059
2024,777,0.2485022246837616
2024,avg3,0.24790844321250916
2022,1,0.24384251236915588
2022,13,0.24359123408794403
2022,77,0.2440965175628662
2022,101,0.24356958270072937
2022,777,0.24370579421520233
2022,avg3,0.24312616884708405
