model,fold,brier,logloss,roc_auc,pred_mean,seconds
reg_domain,2022,0.24354022500172104,0.6798924060489204,0.5762863031359111,0.5290915635916703,31.432530164718628
reg_tm_mean,2022,0.24351139731237156,0.6798401488448303,0.5764175465514396,0.528513881272892,39.48895597457886
reg_league_role,2022,0.24344884802047614,0.6797125587918263,0.5771865356131711,0.5280726023906129,32.59620904922485
reg_domain,2023,0.2535193385565922,0.7009242586998974,0.5259498697379584,0.5214384376312919,37.21515202522278
reg_tm_mean,2023,0.2535559878880255,0.7009911840503795,0.5258509299211244,0.5202886064315517,50.557578802108765
reg_league_role,2023,0.25355666697503737,0.7010156847865211,0.5267768641919538,0.5210314010265229,40.058589220047
reg_domain,2024,0.2480696468651698,0.6892711073608837,0.5479572830444555,0.49748142682219326,45.722023010253906
reg_tm_mean,2024,0.24811326674869177,0.6893608803755937,0.5478548960552486,0.49695718759893953,62.946882247924805
reg_league_role,2024,0.2480918222729904,0.6893166856571756,0.5476892510394689,0.49705660196128,50.93717384338379
reg_domain,mean_2022_2024,0.24837640347449433,0.6900292573699005,0.5500644853061084,,114.36970520019531
reg_league_role,mean_2022_2024,0.2483657790895013,0.690014976411841,0.5505508836148646,,123.59197211265564
reg_tm_mean,mean_2022_2024,0.2483935506496963,0.6900640710902679,0.5500411241759375,,152.99341702461243
