fold,cfg,n_feat,brier_rel_aligned,base,delta_e5,sec
2024,sd_rank,170,0.24785520273956038,0.24788740459202305,3.22,147
2022,sd_rank,170,0.2484449825880021,0.24849479424027926,4.98,114
