재료,d2024,d2022,상관
exp86_B_8ep_코사인,1.3948552191556107,,0.8753823947501416
exp68_multisplit,1.2582495809099203,-0.15043754973409484,0.9589034340870438
exp55_hand_seedavg,1.0852705387059958,-0.20741895360720797,0.9693136397744547
exp86_A_4ep_고정,1.0852705387059958,,0.9420160444929974
exp63_handcnt,0.9620733164517059,-0.769654703375311,0.967011841308344
exp73_film,0.9314960219941604,-0.6659248253743089,0.9686700051276755
exp86_C_12ep_코사인,0.8832970798788864,,0.8198907531850136
exp100_regime_transfer,0.7855112695853705,,0.9427702308779025
exp74_hand_ep2,0.7057904986118579,-0.7615677353134398,0.9668784878102724
exp67_rankgauss,0.6858469058151906,-0.36770268948826956,0.9590722172766257
exp59_pbhand_seedavg,0.6617736257985563,-0.6261545295122017,0.9652467303628889
exp84_hand_big,0.5879287673482558,-0.4921152638032167,0.9374415333201556
exp72_tm_mean_mono,0.5482009465818116,-1.0589970454860653,0.9598344572818568
exp65_handcnt_seeds5,0.4873685239409342,0.1263282685598499,0.9732040336486281
exp58_hand_seeds5,0.28862087569636596,0.3430345604377161,0.9736937736656062
exp66_batcnt,0.2360388250272072,-0.8183787920529317,0.9659662049702661
exp82_hand_hf,0.16385233221616335,-0.4771367968031681,0.9649082718934169
exp105_sd,0.16087506318762657,0.7784517514930478,0.9652983304132243
exp61_V2,0.11459678451453126,0.2337474297176012,0.9599761317162991
exp76_cattime100_s7,0.09176690217438388,-0.20041058290953817,0.9645612291633565
TEAM_extratrees,0.07762339686856468,-1.6094771084829151,0.9565358727864083
exp10_domain_te_scatter,-0.05308993372699078,-0.4104118693032399,0.9608547051927955
exp53_nn_cnt_2024,-0.10865949154059695,,0.8554856141934113
exp50_nn_hand_2024,-0.16376236706694414,,0.8644705893129023
exp61_V1,-0.19084755813747467,-0.6228738287344937,0.9666019029488808
exp61_V3,-0.22818053730111476,-0.33003993820390765,0.9653025031375054
exp76_cat100_s7,-0.3182484570957156,0.611519065502053,0.9632077796683083
exp62_hand_split,-0.3377522237196784,-0.9124687404493681,0.5756639190590366
exp71_mono_dedup,-0.41346263450481313,-1.112959029475613,0.5848826466277374
exp08_tm_pitch_means,-0.4449693532138088,0.015601128008913001,0.9650932229199618
exp72_league_role,-0.44698710273682885,-1.492528991992037,0.9661933819225904
exp14_catboost_chronological_2024,-0.4552468617857741,,0.8671012571336844
exp15_catboost_chronological,-0.4552468617857741,-0.7211741999552101,0.9380005945608122
exp38_nn_big_2024,-0.45581976989839124,,0.8271933148349495
exp30_tuned_tm_mean,-0.45716694317965434,-0.2664380401723454,0.9727136499559784
exp72_league_role_mono,-0.47303898684514234,-0.7762667616956209,0.9652136288838994
exp72_domain_mono,-0.4768422704859443,-1.2191203116129756,0.9672506400422769
exp81_hf_hgb_domain,-0.49691829485665195,-1.8529806428635442,0.9715065673138069
exp28_reg_domain,-0.538201565225549,-1.2534407795611324,0.9672125520423025
exp75_phys_2024,-0.5461288042490908,,0.9325055796531027
exp72_tm_mean,-0.5571005127685824,-0.5253057159565477,0.962550301555828
exp30_tuned_domain,-0.6260471811514456,-1.1347969316566342,0.9748471909309616
exp28_reg_tm_mean,-0.6363759475408459,-0.8901417203999173,0.9655850148924431
exp08_tm_expert_core,-0.6568397539041815,-0.6479001351616942,0.9645804880161541
exp96_heuristic,-0.6863794386136046,-1.5006884504398244,0.9753394062575845
exp31_seedavg_domain,-0.6890067874271155,-1.0748365022295037,0.9766970647436106
exp30_tuned_league_role,-0.6916335953538466,-0.597650456310439,0.9744610388265694
exp81_hf_tm_mean,-0.7189406611374238,-0.7648272937255118,0.9641091234681753
exp85_lgbm_hf,-0.7768728343460207,-1.3014220699825163,0.9758136199886893
exp07_hgb_trackman,-0.7885891676356893,-0.5253057159565477,0.9630422184856574
exp75_base_2024,-0.7907349286989662,,0.9410894756473114
exp42_abs_era,-0.7907349286989662,-1.2701663757580528,0.9694116672203427
exp62_cur,-0.7907349286989662,-1.2701663757580528,0.9694116672203427
exp72_domain,-0.7907349286989662,-1.2701663757580528,0.9694116672203427
exp09_tm_league_role,-0.8221498311644648,-1.0312060892220254,0.9656535270241979
exp10_domain_temporal_te,-0.8294095450972483,-0.5947768620839788,0.9609121688154012
exp28_reg_league_role,-0.8482699008632855,-0.1852063888779787,0.9667248313844107
exp103_base,-0.8532013675205397,-1.462315936126557,0.9757794877021085
exp80_hf_avg3,-0.8532013675205397,-1.462315936126557,0.9757794877021085
exp105_base,-0.8532013675205397,-1.462315936126557,0.9757794877021085
exp103b_base,-0.8532013675205397,-1.462315936126557,0.9757794877021085
exp90_base_avg3,-0.8532013675205397,-1.462315936126557,0.9757794877021085
exp106_full,-0.8532013675205397,-1.462315936126557,0.9757794877021085
exp103b_sd,-0.8532013675205397,-1.462315936126557,0.9757794877021085
exp22_seoyeon_interactions,-0.863225179686955,-1.178847507921077,0.9687864461231473
exp10_domain_scatter,-0.8728632734100739,-1.0464644683710889,0.9680458616653531
exp25_failure_decomp_2024,-0.8854083671183677,,0.9338046687326305
exp11_decay_1.20,-0.928655399387579,-0.8553888271228827,0.9659205960274483
exp11_decay_1.15,-0.9401337046827107,-1.9036867323435347,0.9654858469052244
exp80_base_avg3,-0.9465320138596356,-1.321326228234665,0.9731339492380957
exp90_lure_avg3,-0.9470217979618001,-1.421827643563467,0.975948699770235
exp08_tm_role,-0.9623147881110405,-1.070592102916934,0.9663921267300211
exp09_tm_league_combined,-0.9667424233139599,-0.3067853817650956,0.9547370679533717
exp103_sd,-0.9834147876613963,-2.273566659188875,0.960003313909483
exp23_seoyeon_lgbm,-1.0618669832901384,-0.6793187783571408,0.9758047949172087
exp76_hgb_s7,-1.06525408950231,-1.228705265368668,0.967540220758941
exp08_tm_pitch_stds,-1.0745043484722272,-0.7413850133308753,0.9665004609401925
exp05_catboost_domain,-1.1074758692219966,-0.45151465558612713,0.9429193045489069
exp76_hgb_s2024,-1.1248275524872176,-1.6301729916901042,0.9686733825077363
exp11_decay_1.05,-1.1345545626872955,-1.1732892442745113,0.9682786641099796
exp04_hgb_domain,-1.1357403577161307,-1.2701663757580528,0.9686941613747422
exp11_decay_1.30,-1.1434638645363426,-1.8115300681964541,0.9636784578416496
exp81_hf_league_role,-1.1461243997923365,-1.025208604735206,0.9680971604034563
exp81_hf_cat_time,-1.2137195566225278,-0.983424594680482,0.9540034538846079
exp78_cat300_s7,-1.2484218850833395,-0.5213632194522866,0.9465806982891163
exp61_base,-1.3445214674834283,-1.3358274637886858,0.9687638106475737
exp106_core12,-1.3938945413488613,-1.400163646159136,0.9223465867850742
exp52_mc4_2024,-1.4101189167559092,,0.8755191101045603
exp11_decay_1.10,-1.4395499959685143,-1.5351298035870542,0.9674501853154893
exp09_tm_league_pitch_means,-1.4639607305938496,-0.3596304797182093,0.9555661988865781
exp03_hgb_raw,-1.536528226012135,-1.3208873389930487,0.9559757160203717
exp79_cattime600,-1.5403481576914402,-1.5213002887037863,0.9157366526144386
exp83_xgb_hf,-1.5481799792632644,-2.8094697965469484,0.9365064429399397
exp37_nn_seedavg,-1.5958210422356567,-0.882499861729058,0.963074647678063
exp78_cattime300_s7,-1.6012919164559714,-1.395878559279362,0.9485407712173339
exp36_nn,-1.647438134630419,-1.9605210011014451,0.9257615904678658
exp79_cat600,-1.65198967108926,0.15328620900367795,0.9187682419884121
exp60_recent3,-1.6730713649576456,-1.2701663757580528,0.9643613544434337
exp62_L1,-1.915806601851533,-2.1971402742293478,0.9434065144126748
exp99_multitask,-1.946683787137915,,0.8862564521607024
exp81_hf_cat_domain,-2.030019750004497,-1.0587405425810381,0.94936297416171
exp05_catboost_raw,-2.089188004630871,-1.0000055594455715,0.9284684203084681
exp35_nn_2024,-2.1171102666694974,,0.7686687791251152
exp62_L2,-2.406146907957263,-3.3244164682810773,0.8939538945357112
exp106_core24,-2.5270773023444715,-1.7898973465352297,0.9476874455016464
exp06_lightgbm_domain,-2.8158148910495395,-1.3180442910404322,0.8680846186811543
exp60_recent2,-3.159849816181115,-1.1894999257744399,0.9609226550036126
exp39_nn_noasof_2024,-3.339512852165716,,0.6533263715706717
exp06_lightgbm_raw,-3.678502704240749,-1.4881321084486698,0.8574517450529587
