fold,seed,brier
2024,42,0.24888475239276886
2024,7,0.2484976202249527
2024,2024,0.2485274374485016
2024,avg5,0.24807541072368622
2022,42,0.24452026188373566
2022,7,0.24457485973834991
2022,2024,0.24476711452007294
2022,avg5,0.24390371143817902
