model,features,fold,train_end_year,n_train,n_valid,train_target_mean,valid_target_mean,pred_mean,brier,logloss,roc_auc,seconds,n_iter
constant,raw_47_plus_domain_43,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5431423520563062,0.24936587062859672,0.6918804070069513,0.5,0.0,0.0
hgb,raw_47_plus_domain_43,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5301288688402516,0.24352431071531808,0.6798650882426157,0.576480321533839,156.62817883491516,200.0
constant,raw_47_plus_domain_43,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.5395365039034486,0.2515665167378201,0.6962900426820432,0.5,0.0,0.0
hgb,raw_47_plus_domain_43,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.5210149175935623,0.2534316109162257,0.7007475351888243,0.527184271345603,149.35490345954895,200.0
constant,raw_47_plus_domain_43,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.5315815109059132,0.25187504706086583,0.6969036043721831,0.5,0.0,0.0
hgb,raw_47_plus_domain_43,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.4964548066203094,0.24811007644535327,0.6893540583342436,0.5474897592822731,200.72791576385498,200.0
constant,raw_47_plus_domain_43,mean_2022_2024,,,,,,,0.2509358114757609,0.6950246846870591,0.5,0.0,
hgb,raw_47_plus_domain_43,mean_2022_2024,,,,,,,0.248355332692299,0.6899888939218944,0.550384784053905,506.7109980583191,
