model,features,fold,train_end_year,n_train,n_valid,train_target_mean,valid_target_mean,pred_mean,brier,logloss,roc_auc,seconds,n_iter
constant,raw_47,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5431423520563062,0.24936587062859672,0.6918804070069513,0.5,0.0,0.0
hgb,raw_47,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5315780041144804,0.24363471901771314,0.6800979975689202,0.5755347095441241,110.19186735153198,200.0
constant,raw_47,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.5395365039034486,0.2515665167378201,0.6962900426820432,0.5,0.0,0.0
hgb,raw_47,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.5210309472382536,0.25381085434473755,0.7015229426351957,0.5238744303362725,133.67769742012024,200.0
constant,raw_47,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.5315815109059132,0.25187504706086583,0.6969036043721831,0.5,0.0,0.0
hgb,raw_47,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.49720911513554583,0.24829064749882285,0.6897178595562025,0.5449700942898182,75.00759434700012,200.0
constant,raw_47,mean_2022_2024,,,,,,,0.2509358114757609,0.6950246846870591,0.5,0.0,
hgb,raw_47,mean_2022_2024,,,,,,,0.24857874028709118,0.6904462665867728,0.5481264113900716,318.87715911865234,
