config,seed,brier
B_8ep_코사인,42,0.24473324418067932
B_8ep_코사인,7,0.24454675614833832
B_8ep_코사인,2024,0.24492308497428894
B_8ep_코사인,avg3,0.24397245049476624
A_4ep_고정,42,0.24421794712543488
A_4ep_고정,7,0.24390603601932526
A_4ep_고정,2024,0.2439916878938675
A_4ep_고정,avg3,0.2435344010591507
