model,brier,auc,logloss,teacher_gain
student_only_prepitch,0.2485060162019291,0.5432667743131637,0.6901575741520851,0.0
teacher_with_privileged,0.2472361427906726,0.5580198853892174,0.6875926884511712,0.0012698734112565058
