fold,seed,brier,auc
2022,1,0.24388346076011658,0.5735950127735268
2022,13,0.2440347820520401,0.5738068814437732
2022,77,0.24399249255657196,0.572934933316211
2022,101,0.2440037578344345,0.5719906817360763
2022,777,0.24418793618679047,0.5717240930987649
2022,avg,0.24337710440158844,0.5773360594955695
2023,1,0.2543676793575287,0.5238186257064941
2023,13,0.2522734999656677,0.5252818947339736
2023,77,0.2535836100578308,0.5253124240456504
2023,101,0.25476306676864624,0.5245249390181883
2023,777,0.25464731454849243,0.525090155785336
2023,avg,0.2533126473426819,0.5282223053332138
2024,1,0.2486409991979599,0.5457516140585278
2024,13,0.24870118498802185,0.5423620406210684
2024,77,0.248456209897995,0.5446084690936068
2024,101,0.2484264224767685,0.5456266315755807
2024,777,0.2484353929758072,0.5445440910064119
2024,avg,0.24801231920719147,0.5498732599035854
