model,features,fold,mapped_pitchers,train_mapping_coverage,valid_mapping_coverage,n_train,n_valid,pred_mean,valid_target_mean,brier,logloss,roc_auc,seconds,n_features
hgb,raw47_domain43_trackman65,2022,464.0,0.9831180310408626,0.8109927587767505,728588.0,247472.0,0.527639730561013,0.5289204435249241,0.24345712165190825,0.6797199042611407,0.5765849009150446,89.37253665924072,155
hgb,raw47_domain43_trackman65,2023,524.0,0.9875991230047333,0.8411852153548518,976060.0,245525.0,0.519551972402805,0.49995723449750534,0.2536715696121294,0.7012571247889574,0.5258113648897538,107.14572286605835,155
hgb,raw47_domain43_trackman65,2024,587.0,0.9877970014366582,0.7742863116205864,1221585.0,253507.0,0.49608023770261084,0.4861049201797189,0.2481471953537115,0.6894293187969921,0.5471318486335199,103.52073073387146,155
hgb,raw47_domain43_trackman65,mean_2022_2024,,,0.8088214285840629,,,,,0.24842529553924972,0.6901354492823634,0.5498427048127728,300.03899025917053,155
