model,features,fold,brier,logloss,roc_auc,pred_mean,target_mean,seconds
catboost,domain43_has_time,2022,0.2437584151659348,0.6803393738200422,0.5738245736165634,0.5310662497674078,0.5289204435249241,133.0476176738739
catboost,domain43_has_time,2023,0.253383344992506,0.7005500158121287,0.5245743628270102,0.5170272239064132,0.49995723449750534,167.43903231620789
catboost,domain43_has_time,2024,0.2482754655640215,0.6896865019512021,0.5454000819592736,0.4965784041559123,0.4861049201797189,329.98259806633
catboost,domain43_has_time,mean_2022_2024,0.2484724085741541,0.6901919638611242,0.5479330061342824,,,630.4692480564117
