drop,d2024,d2022,d2023
hgb_domain,0.011092193522022065,-0.15948908177743082,0.2292620790822486
cat_domain,0.5363546100756178,-0.24127070321344757,-0.3405319418781083
tm_mean,-0.34069459847463346,-1.0852700749103272,2.00080257185542
league_role,-0.15282267463168075,-0.7227523252578694,1.1314472788181984
cat_time,0.39498641919710753,-0.2802852040018067,-1.6544006041008252
lgbm,0.017606690641547296,-0.9965296816266678,1.0383923933765526
nn3,1.0517557909595077,0.7840787310947617,-0.9984861936318534
hand8,-1.301066044143151,-0.6606379606532986,1.553310280810738
pbhand3,-0.4096381405499505,0.11621476485867976,0.3458617002904951
hc3,-0.7725795755086917,0.7900294704293875,-2.5121787843918053
ms,-1.2910169631813462,0.2662326112706781,-2.7124762342178865
hc5,-0.46520454365373,-0.3720324493500238,-0.5871352147468478
