fold,n_train,base,split,base_R,split_R,auc_base,auc_split,corr,sec_base,sec_split,blend_0.1,blend_0.2,blend_0.3,blend_0.4,blend_0.5,blend_0.6,blend_0.7,best_w,best_blend
2022,653728,0.24789116476196957,0.24784430082592976,0.24862827531944104,0.24870067761467116,0.5457205174426303,0.5456355207769079,0.9993971819544584,44,75,0.24785962046878693,0.2478340445977329,0.24781443714880744,0.24780079812201056,0.24779312751734228,0.24779142533480264,0.2477956915743915,0.6,0.24779142533480264
2023,870752,0.24870929835658587,0.2487675035047619,0.24870631790874043,0.24873698248614973,0.5401334988309703,0.5399574593905585,0.9995082973397408,58,68,0.24869301343042413,0.24868164082448,0.24867518053875354,0.24867363257324468,0.24867699692795342,0.24868527360287987,0.24869846259802392,0.4,0.24867363257324468
2024,1116277,0.24803733851791324,0.24800614373672475,0.2481239786228806,0.2481151050844058,0.5482205923757908,0.5483711581359114,0.999537218964766,88,85,0.24801352379900576,0.24799430802249572,0.2479796911883832,0.24796967329666814,0.24796425434735056,0.24796343434043044,0.24796721327590782,0.6,0.24796343434043044
