fold,variant,brier,auc
2022,domain,0.24352431071531802,0.5764803215338391
2022,domain_mono,0.24350199520016763,0.5767426480372293
2022,tm_mean,0.24345712165190828,0.5765849009150447
2022,tm_mean_mono,0.24355827310200312,0.5749444405473757
2022,league_role,0.24354599377587846,0.5758062972066094
2022,league_role_mono,0.24350828862878082,0.5761717319955717
2023,domain,0.2534316109162257,0.5271842713456031
2023,domain_mono,0.25351991775738364,0.5262777348023311
2023,tm_mean,0.25367156961212933,0.5258113648897539
2023,tm_mean_mono,0.2535594736043385,0.5270483474775336
2023,league_role,0.2535045766646209,0.5262262339736826
2023,league_role_mono,0.2534713759222252,0.5266644849911933
2024,domain,0.24805922339357517,0.5481536876974347
2024,domain_mono,0.24805805800440178,0.5478836217809573
2024,tm_mean,0.24813384605103686,0.5473502991367204
2024,tm_mean_mono,0.2479923192542079,0.5488154648474803
2024,league_role,0.24808240684283822,0.5479140251838771
2024,league_role_mono,0.24806206022955993,0.5478376739747157
