fold,seed,brier,auc
2022,42,0.24415448307991028,0.5721860393435023
2022,7,0.24384571611881256,0.5747338408019665
2022,2024,0.24404555559158325,0.5736901626073521
2022,avg,0.24361182749271393,0.5766151241711466
2023,42,0.25421398878097534,0.5237562461033086
2023,7,0.2539241313934326,0.5238201003627022
2023,2024,0.2534022927284241,0.5234146407054401
2023,avg,0.2533944249153137,0.5258283214123428
2024,42,0.2486465722322464,0.545227480689007
2024,7,0.2484942376613617,0.5460656072931669
2024,2024,0.24830910563468933,0.5451296067689135
2024,avg,0.24807770550251007,0.5491326893867835
