fold,hf,seed,brier_rel
2023,False,42,0.2534316109162257
2023,False,7,0.2535580521026753
2023,False,2024,0.2535207232317015
2023,False,avg3,0.253461453463095
2023,True,42,0.2534758052369186
2023,True,7,0.25341259466258476
2023,True,2024,0.25346442153864546
2023,True,avg3,0.25340722546001
