fold,seed,brier
2024,42,0.24867714941501617
2024,7,0.24902626872062683
2024,2024,0.2490697205066681
2024,avg3,0.24831102788448334
2022,42,0.24395745992660522
2022,7,0.24383555352687836
2022,2024,0.2439907193183899
2022,avg3,0.2433381974697113
