year,method,fixed_shift_brier,method_brier,params
2023,temperature,0.253296863091291,0.25360456415328203,[1.0359375000000002]
2023,platt,0.253296863091291,0.2536080349419752,"[1.044891346858729, -0.007877378902274593]"
2023,beta,0.253296863091291,0.2535699842421106,"[1.3042629776617076, -0.8560528674477256, 0.3040008305266826]"
2024,temperature,0.24787123780827613,0.24833420165688258,[0.6295898437499996]
2024,platt,0.24787123780827613,0.24827957276460327,"[0.6375297499322975, -0.007597694368615673]"
2024,beta,0.24787123780827613,0.24827230945918322,"[0.6469847595292159, -0.6319551602060363, 0.0019909750166137285]"
