구성,brier,auc,gain_e5
기준,0.24805922339357517,0.5481536876974347,0.0
count_recent 범주,0.24815255330767547,0.5470512573083157,-9.332991410029855
count_shift 수치,0.24811965800437852,0.5474037632121879,-6.043461080335043
둘다,0.2481015818593495,0.5475731731054305,-4.235846577432811
