model,features,fold,n_features,brier,logloss,roc_auc,seconds,valid_profile_coverage
hgb,tm_league_pitch_means,2022,122.0,0.24354122245303567,0.6798899712376167,0.5753979550903163,47.90086913108826,0.7948778
hgb,tm_league_role,2022,98.0,0.24353362162936684,0.6798817039100303,0.575890052373257,35.47497534751892,0.7948778
hgb,tm_league_combined,2022,129.0,0.24353809056352188,0.6798816257934271,0.5752774908187235,43.983012437820435,0.7948778
hgb,tm_league_pitch_means,2023,122.0,0.2536722796985911,0.7012145762541712,0.5248629106266738,52.63613414764404,0.8353976
hgb,tm_league_role,2023,98.0,0.2534227929337229,0.7007240821936488,0.5270501922575865,44.8235604763031,0.8353976
hgb,tm_league_combined,2023,129.0,0.2536662581854541,0.7012040360305152,0.5250299279168299,2230.1494081020355,0.8353976
hgb,tm_league_pitch_means,2024,122.0,0.24821972897409392,0.6895760059873165,0.5466675523451903,59.571133852005005,0.7712923
hgb,tm_league_role,2024,98.0,0.2481122264018492,0.6893578729202678,0.5478411100876173,115.40064024925232,0.7712923
hgb,tm_league_combined,2024,129.0,0.248190515354994,0.689517126524108,0.5472307177235674,225.7699499130249,0.7712923
hgb,tm_league_combined,mean_2022_2024,,0.24846495470132332,0.6902009294493502,0.5491793788197069,2499.902370452881,0.80052257
hgb,tm_league_pitch_means,mean_2022_2024,,0.24847774370857356,0.6902268511597015,0.5489761393540601,160.1081371307373,0.80052257
hgb,tm_league_role,mean_2022_2024,,0.24835621365497965,0.6899878863413157,0.5502604515728202,195.69917607307434,0.80052257
