model,features,fold,brier,logloss,roc_auc,pred_mean,target_mean,seconds
hgb,decay_1.05,2022,0.24351854922655355,0.679849781210017,0.5765233150704668,0.530391708707113,0.5289204435249241,23.094173192977905
hgb,decay_1.10,2022,0.24355401163840001,0.6799273265836238,0.5762910912415691,0.5304620706567293,0.5289204435249241,20.500613927841187
hgb,decay_1.15,2022,0.24363101384219601,0.6800797491433286,0.5751704771635133,0.529829798006775,0.5289204435249241,20.789149522781372
hgb,decay_1.20,2022,0.24348575132778347,0.6797760558416568,0.5767872616270979,0.5307356107100546,0.5289204435249241,20.19074845314026
hgb,decay_1.30,2022,0.24361612030045252,0.6800500294489857,0.5754341750205755,0.5295570196930693,0.5289204435249241,20.357789039611816
hgb,decay_1.05,2023,0.253518145798178,0.7009200955714576,0.5260676590305988,0.5206544982719812,0.49995723449750534,26.421132564544678
hgb,decay_1.10,2023,0.2535143330720568,0.7009260686662167,0.526509636733402,0.5209649287697873,0.49995723449750534,28.535788774490356
hgb,decay_1.15,2023,0.2536107767576616,0.7011263642323171,0.5258206704388875,0.5210164868777573,0.49995723449750534,26.19806933403015
hgb,decay_1.20,2023,0.25365513227292413,0.7012401807450458,0.5258864629714314,0.5211322839592442,0.49995723449750534,26.61293601989746
hgb,decay_1.30,2023,0.25365033708705625,0.701240789442364,0.5260080818979384,0.5206033763190031,0.49995723449750534,25.51679539680481
hgb,decay_1.05,2024,0.2481316760163335,0.6893973759636804,0.5475241679382611,0.4974798553658716,0.4861049201797189,31.28576135635376
hgb,decay_1.10,2024,0.2481836579355286,0.6895012345590994,0.5467907526912502,0.49737547945547117,0.4861049201797189,31.538136959075928
hgb,decay_1.15,2024,0.2481402350551357,0.6894141380734818,0.5473676133435864,0.49748339376588346,0.4861049201797189,35.14510154724121
hgb,decay_1.20,2024,0.248169952522538,0.6894736850722742,0.5468571880485397,0.4971528990505696,0.4861049201797189,31.785292863845825
hgb,decay_1.30,2024,0.24822428887660788,0.6895837999779303,0.5463083514294554,0.49746485845408506,0.4861049201797189,30.758250951766968
hgb,decay_1.05,mean_2022_2024,0.24838945701368834,0.6900557509150517,0.5500383806797756,,,80.80106711387634
hgb,decay_1.10,mean_2022_2024,0.2484173342153285,0.6901182099363132,0.5498638268887405,,,80.57453966140747
hgb,decay_1.15,mean_2022_2024,0.24846067521833107,0.6902067504830426,0.549452920315329,,,82.13232040405273
hgb,decay_1.20,mean_2022_2024,0.2484369453744152,0.690163307219659,0.549843637549023,,,78.58897733688354
hgb,decay_1.30,mean_2022_2024,0.24849691542137223,0.6902915396230934,0.5492502027826563,,,76.6328353881836
