구성,n_train,brier,auc,gain_e5
기준(전부 사용),1221585,0.24811007644535327,0.5474897592822731,0.0
퓨처스 19~22 제거,1116277,0.2480899839745212,0.5474511986500404,2.009247083206711
abs_era 플래그 추가,1221585,0.24805922339357517,0.5481536876974347,5.085305177809918
