fold,구성,brier,auc
2024,기준,0.24805922339357517,0.5481536876974347
2024,습관5개,0.24813305823846393,0.5476165505309154
2023,기준,0.2534316109162257,0.5271842713456031
2023,습관5개,0.25347654763359934,0.5267763330927687
