fold,구성,n_feat,brier,auc
2024,기준,91,0.24805922339357517,0.5481536876974347
2024,A+B 추가,103,0.2480624035534238,0.5483767109120505
2023,기준,91,0.2534316109162257,0.5271842713456031
2023,A+B 추가,103,0.253579829900081,0.5269666362024175
