fold,seed,brier
2024,1,0.2491217404603958
2024,13,0.24882657825946808
2024,77,0.24857772886753082
2024,101,0.24892421066761017
2024,777,0.24870288372039795
2024,avg3,0.24822469055652618
2022,1,0.243764728307724
2022,13,0.24359455704689026
2022,77,0.24397043883800507
2022,101,0.24378009140491486
2022,777,0.2437250018119812
2022,avg3,0.24318233132362366
