fold,model,brier
2022,hf_hgb_domain,0.2435608535489039
2022,hf_tm_mean,0.24351017744933343
2022,hf_league_role,0.2435207868719339
2022,hf_cat_domain,0.24367479883525878
2022,hf_cat_time,0.24358393902576575
2023,hf_hgb_domain,0.2534758052369186
2023,hf_tm_mean,0.25357631811853637
2023,hf_league_role,0.2534890785030475
2023,hf_cat_domain,0.25318761442246435
2023,hf_cat_time,0.25362936592090557
2024,hf_hgb_domain,0.24801942785586717
2024,hf_tm_mean,0.2481080626284621
2024,hf_league_role,0.24812118750049889
2024,hf_cat_domain,0.24841238500083754
2024,hf_cat_time,0.24825116533848043
