fold,mode,n_feat,brier_rel
2024,full,147,0.2480237459463581
2024,core24,25,0.2483824568279117
2024,core12,12,0.24845850154528784
2022,full,147,0.24865013569682054
2022,core24,25,0.24883172675308152
2022,core12,12,0.24895431281805824
