재료,d2024,d2022,상관
exp68_multisplit,0.9224178937089489,-0.3236028462721974,0.9534393526818411
exp63_handcnt,0.7101730389064143,-0.9561130692031794,0.9615079608795902
exp73_film,0.519076786228978,-0.9081863922705269,0.9639044632346434
exp55_hand_seedavg,0.5121755449560839,-0.6613361716256705,0.966167450538479
exp74_hand_ep2,0.40461457640195153,-1.1549988967796132,0.9621589736492702
exp67_rankgauss,0.3436324923861145,-0.5059521092976027,0.9539193686941582
exp65_handcnt_seeds5,0.3168954883225883,-0.17011073273065502,0.9678312062560068
exp59_pbhand_seedavg,0.29172719228365285,-0.8749163390497916,0.9603954497277215
exp72_tm_mean_mono,0.27620483150081476,-1.4836021256542375,0.9570356675968436
exp84_hand_big,0.2124673843612035,-0.8433659751505562,0.9326232987148357
exp58_hand_seeds5,0.13629085194033497,0.05802048963221562,0.9681038171211045
sean_v42,-0.03277079687891149,-0.8988645844254517,0.9789506889719485
exp61_V2,-0.06899462607901086,-0.4696455282171552,0.95737191986164
exp66_batcnt,-0.0720781605650922,-1.0761396003644563,0.9610526780124347
exp82_hand_hf,-0.08612436650790034,-0.8210803188218874,0.9581044858767747
TEAM_extratrees,-0.21452066512883672,-2.134868829492542,0.9537025387743391
exp76_cattime100_s7,-0.23265969397723296,-0.7521785470893105,0.9622179045844435
exp61_V1,-0.33743206758751754,-1.2964926434183566,0.963813879875203
exp10_domain_te_scatter,-0.4136335585241957,-1.110427458389518,0.9592188800495113
exp61_V3,-0.4222299031797494,-0.9936178688496611,0.9626240506965734
exp62_hand_split,-0.49916975358166304,-1.5648773144971706,0.5756077551063502
exp71_mono_dedup,-0.551015294156243,-1.7434606095018124,0.5845950889019403
exp30_tuned_tm_mean,-0.6240384802264076,-0.7756445126738676,0.9695794108523514
exp72_league_role,-0.6271083707098946,-1.9965280167344446,0.9628333001170678
exp76_cat100_s7,-0.6385282436349726,0.070570740262621,0.9608332055926129
exp08_tm_pitch_means,-0.6469662479496874,-0.519931986356359,0.962084858767321
