feature,n_rows,resid_corr,resid_corr_lowN
bt_speed_gap_LR,226443,0.008107102380318774,0.005581111659081472
bt_spin_faced,226443,0.004508691895166484,-0.020713450730057585
bt_ext_faced,226443,-0.004204309502758162,-0.024691348741995356
bt_speed_vsL,226443,0.0039250223737834124,0.004841390210539389
bt_br_share,226443,0.0038165205064860995,-0.0048681639515370705
bt_fb_share_vsR,226443,-0.0029615135070640538,-0.02243562723605285
bt_fb_dev,226443,-0.0027048115385413414,-0.023528795713077373
bt_fb_share,226443,-0.0027048115385413405,-0.023528795713077377
bt_speed_sd,226443,-0.002003830600005803,0.007596016625576819
bt_vsL_share,226443,0.0019377607371394887,-0.025575530569841586
bt_fb_gap_LR,226443,0.0016841121694348067,0.0007815884229782768
bt_fb_share_vsL,226443,-0.0016311594642300202,-0.021034868757637853
bt_speed_vsR,226443,-0.0016181294041270671,-0.002203420008683038
_noise,253507,-0.0015507962595916556,-0.002003790673560376
bt_break_faced,226443,-0.0014893454562497322,-0.01487417529688399
bt_of_share,226443,-0.00043376335223641385,0.040107198783694446
bt_n,226443,-0.00038540234900546273,-0.016131379288616802
bt_speed_faced,226443,-0.00034935221941775267,0.002220939363410333
