fold,model,brier,sec
2022,cat600,0.24395770028000094,207
2022,cattime600,0.2440153103864121,184
2023,cat600,0.253908490977218,2844
2023,cattime600,0.2539708152531591,217
2024,cat600,0.24862014668543642,330
2024,cattime600,0.2486768229381977,264
