trial,fold,brier
-1,2022,0.24352431071531802
22,2022,0.24346318579668857
23,2022,0.24355336533871796
11,2022,0.24342446378351365
17,2022,0.24347319866506079
1,2022,0.24356768948359414
21,2022,0.24346779807733168
18,2022,0.2434879743757532
20,2022,0.2435404596917622
4,2022,0.2436133725401575
5,2022,0.24361612876301209
12,2022,0.24356419749171668
10,2022,0.2437009041207891
6,2022,0.2435211432465264
9,2022,0.24356100066828132
16,2022,0.24351893069298688
8,2022,0.24380003459937563
13,2022,0.24363260436821937
0,2022,0.2438036498948808
19,2022,0.24363722921264835
7,2022,0.24391214235382006
15,2022,0.24393711280169286
14,2022,0.24407325866790747
2,2022,0.2445229517623197
3,2022,0.24475594600755954
-1,2023,0.2534316109162257
22,2023,0.2534030142329981
23,2023,0.25374667994646233
11,2023,0.2532598134129065
17,2023,0.25352580930850405
1,2023,0.2537939235438176
21,2023,0.2533489373969299
18,2023,0.2532170537028031
20,2023,0.25378178179261324
4,2023,0.2539340358694749
5,2023,0.2537523209555574
12,2023,0.2537330029051532
10,2023,0.2542165408563016
6,2023,0.2536862542376146
9,2023,0.2536414129805036
16,2023,0.2536229624785041
8,2023,0.2539955040159299
13,2023,0.25372096633335467
0,2023,0.25414861427952784
19,2023,0.25354094507658026
7,2023,0.2540175480623722
15,2023,0.2542997649135732
14,2023,0.2544864936175295
2,2023,0.2548125589722997
3,2023,0.25498811051254544
