model,features,fold,train_end_year,n_train,n_valid,train_target_mean,valid_target_mean,pred_mean,brier,logloss,roc_auc,seconds,trees
lightgbm,raw_47,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5368741056629797,0.24460679604673538,0.6821457045375156,0.5691474091009673,8.355125427246094,300.0
lightgbm,raw_47,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.5232781656045793,0.25478789083711045,0.7036809926019193,0.5190719683107294,10.357880115509033,300.0
lightgbm,raw_47,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.4991291238314136,0.2492929338446074,0.6917446933193113,0.5347345057385062,13.459099054336548,300.0
lightgbm,raw_47_plus_domain_43,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5351272170260165,0.24455834995322068,0.6820351955805534,0.5702952348438991,10.676290273666382,300.0
lightgbm,raw_47_plus_domain_43,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.523543819943303,0.25433873464791984,0.702725060362864,0.5225384066087632,13.532439470291138,300.0
lightgbm,raw_47_plus_domain_43,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.4990590263392784,0.24909558965205744,0.6913488342303743,0.537563484053766,17.424179315567017,300.0
lightgbm,raw_47,mean_2022_2024,,,,,,,0.24956254024281777,0.692523796819582,0.5409846277167344,32.172104597091675,
lightgbm,raw_47_plus_domain_43,mean_2022_2024,,,,,,,0.24933089141773265,0.692036363391264,0.5434657085021427,41.632909059524536,
