valid_year,variant,n_feat,brier,logloss,auc,brier_R,seconds
2023,base,90,0.24874079141587585,0.6906205813913725,0.5396883754072567,0.24872411623536822,85.8
2023,cond,96,0.24870718510983145,0.6905601193403937,0.5412691124734155,0.24868964885088582,88.7
2023,static_cond,100,0.24878307647805167,0.6907117874857134,0.5402237263385838,0.2487585976372938,79.7
2024,base,90,0.24803387084093942,0.6891994402975676,0.5481901607556776,0.2481196102158434,75.7
2024,cond,96,0.2479889421489188,0.6891095328238399,0.5491913348365904,0.24806442153663397,76.2
2024,static_cond,100,0.24802427280416153,0.6891805080599275,0.5486223208375713,0.24810133111116442,91.8
