fold,seed,brier
2024,3,0.2482198178768158
2024,21,0.248276486992836
2024,55,0.24858728051185608
2024,90,0.24835361540317535
2024,123,0.24828869104385376
2024,256,0.24842971563339233
2024,512,0.24827761948108673
2024,999,0.24828150868415833
2024,avg3,0.24780401587486267
2022,3,0.24374152719974518
2022,21,0.24363727867603302
2022,55,0.2435295283794403
2022,90,0.24363566935062408
2022,123,0.24363727867603302
2022,256,0.24360798299312592
2022,512,0.24365726113319397
2022,999,0.24382580816745758
2022,avg3,0.2430657595396042
