fold,seed,brier
2024,42,0.24778109788894653
2024,7,0.24781307578086853
2024,2024,0.24793681502342224
2024,1,0.2481900304555893
2024,13,0.24803954362869263
2024,77,0.24796822667121887
2024,101,0.24790939688682556
2024,777,0.24805189669132233
2024,3,0.24836190044879913
2024,21,0.24781814217567444
2024,55,0.2480856329202652
2024,90,0.24793414771556854
2024,123,0.2480946034193039
2024,256,0.24797862768173218
2024,512,0.24861641228199005
2024,999,0.24821066856384277
2024,avg3,0.24771086871623993
2022,42,0.24366992712020874
2022,7,0.24344150722026825
2022,2024,0.2436576634645462
2022,1,0.24373216927051544
2022,13,0.24350520968437195
2022,77,0.24344658851623535
2022,101,0.2435036152601242
2022,777,0.24355599284172058
2022,3,0.2436651736497879
2022,21,0.2433982789516449
2022,55,0.24334368109703064
2022,90,0.24364112317562103
2022,123,0.24372145533561707
2022,256,0.2434542030096054
2022,512,0.2433951497077942
2022,999,0.24364152550697327
2022,avg3,0.24321481585502625
