fold,cfg,n_feat,brier_rel_aligned,sec
2024,sd_only,160,0.24788740459202305,156
2024,sd_multi,174,0.24787503481495776,162
2022,sd_only,160,0.24849479424027926,119
2022,sd_multi,174,0.24851139875099892,105
