tag,b2024,b2022,h1,h2,h3,dropout,lr,wd,emb_dim,batch,epochs,cos
r1_t03,0.24766996502876282,0.24816644191741943,384,192,64,0.35,0.003,0.001,24,8192,4,True
r1_t16,0.24772942066192627,0.24833887815475464,384,64,128,0.35,0.0005,0.0001,8,4096,4,True
r1_t10,0.2476612776517868,0.24819742143154144,384,128,64,0.15,0.0005,0.0,24,8192,5,False
r1_t08,0.24780228734016418,0.24836242198944092,384,128,128,0.35,0.0005,0.0001,32,16384,5,True
